STN---;YEARMODA;TEMP;DEWP;VISIB;;WDSP;;MXSPD;GUST;MAX;MIN;PRCP;SNDP;FRSHTT
85360;19900101;55,1;50,5;6,3;24;5,8;24;13;999,9;59.0*;44.6*;99,99;999,9;10000
85360;19900102;50,2;47,7;5;24;5,8;24;21;999,9;59.0*;42.8*;99,99;999,9;110010
85360;19900103;49,5;46,6;6,6;24;4,8;24;9,9;20;55.4*;44.6*;99,99;999,9;10000
85360;19900104;52,1;50,7;5;24;1,7;24;6;999,9;57.2*;46.4*;99,99;999,9;10000
85360;19900105;54,2;54;1,2;22;1;22;4,1;999,9;55.4*;53.6*;99,99;999,9;110000
85360;19900106;54,3;53,8;1,4;24;1,7;24;6;999,9;59.0*;51.8*;99,99;999,9;110000
85360;19900107;52,5;45;6,2;24;6,1;24;15;999,9;59.0*;46.4*;99,99;999,9;10000
85360;19900108;51,8;41;6,2;24;8,7;24;13;999,9;59.0*;46.4*;0.00I;999,9;0
85360;19900109;51,6;42,9;6,2;24;7,6;24;11,1;999,9;59.0*;46.4*;0.00I;999,9;0
85360;19900110;49,8;42,7;6,2;24;3,8;24;8;999,9;57.2*;42.8*;0.00I;999,9;0
85360;19900111;48,6;41,6;6,2;23;5,4;23;8,9;999,9;53.6*;42.8*;0.00I;999,9;0
85360;19900112;49,1;43,1;6,2;21;4,2;21;8;999,9;57.2*;42.8*;0.00I;999,9;0
85360;19900113;50,8;43;6,2;24;4,2;24;8,9;999,9;59.0*;42.8*;0.00I;999,9;0
85360;19900114;52,6;44,6;6,4;24;6,7;24;13;999,9;60.8*;46.4*;0.00I;999,9;0
85360;19900115;51,5;43,8;6,1;24;4,8;24;8,9;999,9;59.0*;44.6*;0.00I;999,9;0
85360;19900116;51,1;42,9;6,2;24;4,5;24;8;999,9;57.2*;46.4*;0.00I;999,9;0
85360;19900117;49,2;44;5,2;24;3,3;24;7;999,9;53.6*;44.6*;0.00I;999,9;0
85360;19900118;50,1;44,4;5,2;24;2,5;24;6;999,9;57.2*;44.6*;0.00I;999,9;0
85360;19900119;49,3;39,1;6,1;24;3,6;24;8;999,9;57.2*;41.0*;0.00I;999,9;0
